student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score,APS,WWS,PTMS,CRS,SRI,Category
S1021,23,MBA,8,9.4,95,75,2,7,5,5,8,2,3,82,94.5,66.66666666666667,62.5,25.0,62.16666666666667,Yellow (Needs Attention)
S1022,23,B.A,3,9.4,78,72,9,7,7,9,10,2,3,95,86.0,50.0,81.0,25.0,60.5,Yellow (Needs Attention)
S1023,19,B.A,3,9.4,85,43,10,7,10,8,9,2,3,72,89.5,56.666666666666664,61.5,25.0,58.166666666666664,Yellow (Needs Attention)
S1024,21,MBA,1,9.4,62,72,6,8,10,3,2,2,3,52,78.0,73.33333333333333,51.0,25.0,56.83333333333333,Yellow (Needs Attention)
S1025,22,MBA,3,9.4,78,53,10,7,6,1,10,2,3,84,86.0,43.333333333333336,31.5,25.0,46.458333333333336,Red (At Risk)
S1026,18,MBA,5,9.4,79,60,3,9,5,3,2,2,3,45,86.5,70.0,45.0,25.0,56.625,Yellow (Needs Attention)
S1027,21,MBA,2,5.6,91,87,8,8,4,4,5,6,10,37,73.5,46.666666666666664,63.5,80.0,65.91666666666666,Yellow (Needs Attention)
S1028,19,MBA,7,6.7,66,59,8,7,2,2,5,8,10,33,66.5,36.666666666666664,39.5,90.0,58.166666666666664,Yellow (Needs Attention)
S1029,23,B.A,2,9.4,92,95,2,9,4,1,6,5,3,33,93.0,70.0,52.5,40.0,63.875,Yellow (Needs Attention)
S1030,22,MBA,1,6.3,99,47,6,6,10,7,3,8,1,85,81.0,66.66666666666667,58.5,45.0,62.79166666666667,Yellow (Needs Attention)
S1031,21,B.Tech,4,8.1,98,46,7,7,10,8,8,10,5,54,89.5,66.66666666666667,63.0,75.0,73.54166666666667,Green (Stable)
S1032,18,M.Sc,7,5.0,77,42,2,8,3,7,1,4,9,96,63.5,63.333333333333336,56.0,65.0,61.958333333333336,Yellow (Needs Attention)
S1033,18,MBA,1,6.7,99,56,10,5,10,5,6,10,1,96,83.0,50.0,53.0,55.0,60.25,Yellow (Needs Attention)
S1034,20,MBA,8,6.5,60,72,2,7,1,1,4,8,3,56,62.5,53.333333333333336,41.0,55.0,52.958333333333336,Yellow (Needs Attention)
S1035,20,B.A,4,5.8,70,87,10,5,8,7,1,10,4,61,64.0,43.333333333333336,78.5,70.0,63.958333333333336,Yellow (Needs Attention)
S1036,24,MBA,2,7.6,87,51,1,9,5,7,7,2,1,79,81.5,76.66666666666667,60.5,15.0,58.41666666666667,Yellow (Needs Attention)
S1037,19,MBA,1,7.3,84,98,8,6,4,9,9,5,1,90,78.5,40.0,94.0,30.0,60.625,Yellow (Needs Attention)
S1038,21,MBA,8,8.3,82,90,1,4,8,3,4,9,8,80,82.5,70.0,60.0,85.0,74.375,Green (Stable)
S1039,21,B.A,7,6.3,90,61,9,6,7,9,4,4,2,48,76.5,46.666666666666664,75.5,30.0,57.166666666666664,Yellow (Needs Attention)
S1040,24,MBA,7,6.2,89,94,6,7,2,1,6,6,8,50,75.5,43.333333333333336,52.0,70.0,60.208333333333336,Yellow (Needs Attention)
S1041,23,M.Sc,6,5.8,94,61,7,5,1,1,3,1,7,34,76.0,30.0,35.5,40.0,45.375,Red (At Risk)
S1042,23,B.A,8,6.1,66,85,10,5,4,4,6,9,10,71,63.5,30.0,62.5,95.0,62.75,Yellow (Needs Attention)
S1043,24,M.Sc,5,7.7,75,69,7,8,8,9,7,1,10,90,76.0,63.333333333333336,79.5,55.0,68.45833333333334,Yellow (Needs Attention)
S1044,23,B.A,3,6.9,85,77,10,5,2,6,10,5,2,51,77.0,23.333333333333332,68.5,35.0,50.95833333333333,Yellow (Needs Attention)
S1045,20,MBA,4,5.3,61,77,3,8,3,3,10,4,6,50,57.0,60.0,53.5,50.0,55.125,Yellow (Needs Attention)
S1046,21,M.Sc,8,6.2,60,84,2,9,1,1,3,3,6,99,61.0,60.0,47.0,45.0,53.25,Yellow (Needs Attention)
S1047,24,B.A,6,6.2,71,90,9,4,1,4,7,6,3,30,66.5,20.0,65.0,45.0,49.125,Red (At Risk)
S1048,21,B.Tech,3,8.3,64,93,8,7,3,9,3,2,2,34,73.5,40.0,91.5,20.0,56.25,Yellow (Needs Attention)
S1049,18,MBA,3,8.4,96,47,10,8,5,3,2,3,1,41,90.0,43.333333333333336,38.5,20.0,47.958333333333336,Red (At Risk)
S1050,20,B.A,1,5.7,91,66,7,4,3,9,10,5,6,75,74.0,33.333333333333336,78.0,55.0,60.083333333333336,Yellow (Needs Attention)
S1051,22,B.Tech,3,9.8,68,66,9,5,1,7,4,9,5,63,83.0,23.333333333333332,68.0,70.0,61.08333333333333,Yellow (Needs Attention)
S1052,20,B.A,5,6.3,94,73,4,5,1,4,8,2,9,78,78.5,40.0,56.5,55.0,57.5,Yellow (Needs Attention)
S1053,24,B.Tech,7,9.7,78,60,4,4,8,3,9,10,1,74,87.5,60.0,45.0,55.0,61.875,Yellow (Needs Attention)
S1054,22,MBA,6,7.0,75,69,1,5,10,10,7,8,7,56,72.5,80.0,84.5,75.0,78.0,Green (Stable)
S1055,18,M.Sc,3,5.2,62,72,8,9,2,5,1,2,5,55,57.0,43.333333333333336,61.0,35.0,49.083333333333336,Red (At Risk)
S1056,24,B.Tech,1,6.7,79,67,3,9,3,5,3,5,5,76,73.0,63.333333333333336,58.5,50.0,61.208333333333336,Yellow (Needs Attention)
S1057,19,B.A,5,8.0,83,86,7,4,2,3,9,7,2,85,81.5,30.0,58.0,45.0,53.625,Yellow (Needs Attention)
S1058,21,MBA,2,8.3,92,72,2,8,3,9,1,8,3,92,87.5,63.333333333333336,81.0,55.0,71.70833333333334,Green (Stable)
S1059,18,B.Tech,7,7.5,83,44,2,8,7,4,9,1,7,77,79.0,76.66666666666667,42.0,40.0,59.41666666666667,Yellow (Needs Attention)
S1060,21,B.A,7,7.1,70,99,7,4,1,5,8,6,6,90,70.5,26.666666666666668,74.5,60.0,57.91666666666667,Yellow (Needs Attention)
